experiment,seed,checkpoint,track,source,si_sdr,sdr,sir,sar,isr,params,inference_time_ms
baseline,42,checkpoints/baseline/best.pt,AM Contra - Heart Peripheral,vocals,-0.385698139667511,-7.119284722619736,nan,-1.856947716549446,1.7979063723888906,24300721,29352.944238926284
baseline,42,checkpoints/baseline/best.pt,AM Contra - Heart Peripheral,drums,0.6354780197143555,-0.9058207842462591,nan,1.125014068556017,7.126677494932157,24300721,29352.944238926284
baseline,42,checkpoints/baseline/best.pt,AM Contra - Heart Peripheral,bass,-4.718814373016357,-16.990532966150415,nan,-8.054891494247396,2.5777299423818736,24300721,29352.944238926284
baseline,42,checkpoints/baseline/best.pt,AM Contra - Heart Peripheral,other,-18.730924606323242,-0.5091350400665565,nan,-13.107982810492842,0.5203588964718819,24300721,29352.944238926284
baseline,42,checkpoints/baseline/best.pt,Al James - Schoolboy Facination,vocals,-0.8343020081520081,-6.660232540302278,nan,-1.5826451183318007,2.34146715926602,24300721,27338.50488893222
baseline,42,checkpoints/baseline/best.pt,Al James - Schoolboy Facination,drums,-1.3730281591415405,-4.308451018493663,nan,-1.7789750781209865,6.009363512815449,24300721,27338.50488893222
baseline,42,checkpoints/baseline/best.pt,Al James - Schoolboy Facination,bass,1.788959264755249,-3.7326575046279915,nan,0.03897067082304623,-7.484104708251884,24300721,27338.50488893222
baseline,42,checkpoints/baseline/best.pt,Al James - Schoolboy Facination,other,-10.706939697265625,0.15000628741163236,nan,-8.41823476686686,1.9497002193734783,24300721,27338.50488893222
baseline,42,checkpoints/baseline/best.pt,Angels In Amplifiers - I'm Alright,vocals,-5.2720046043396,-8.946314321276924,nan,-5.705910107962604,4.272863599202887,24300721,24898.572504054755
baseline,42,checkpoints/baseline/best.pt,Angels In Amplifiers - I'm Alright,drums,3.025094985961914,-4.594042972807381,nan,1.3062839033562625,1.5002324570145407,24300721,24898.572504054755
baseline,42,checkpoints/baseline/best.pt,Angels In Amplifiers - I'm Alright,bass,1.4444435834884644,-6.856103492801665,nan,-0.2682051580076928,-8.762561226322195,24300721,24898.572504054755
baseline,42,checkpoints/baseline/best.pt,Angels In Amplifiers - I'm Alright,other,-7.169102668762207,0.6382152708911114,nan,-5.743949714333052,1.782818544446397,24300721,24898.572504054755
baseline,42,checkpoints/baseline/best.pt,Arise - Run Run Run,vocals,-1.3774031400680542,-9.596985439179678,nan,-2.7626844878441825,-1.047739635821851,24300721,30479.296976001933
baseline,42,checkpoints/baseline/best.pt,Arise - Run Run Run,drums,-3.6731996536254883,-7.354543984033411,nan,-3.108383750217089,4.060730469422349,24300721,30479.296976001933
baseline,42,checkpoints/baseline/best.pt,Arise - Run Run Run,bass,0.9663558006286621,-4.277739510499625,nan,-0.006468902310066766,-29.713446093068654,24300721,30479.296976001933
baseline,42,checkpoints/baseline/best.pt,Arise - Run Run Run,other,-11.157294273376465,0.24909023652837725,nan,-2.8631552463260093,0.37759119234655614,24300721,30479.296976001933
baseline,42,checkpoints/baseline/best.pt,BKS - Bulldozer,vocals,-9.439811706542969,-13.245256159126537,nan,-7.132002020046393,1.1959802272822118,24300721,47217.00546692591
baseline,42,checkpoints/baseline/best.pt,BKS - Bulldozer,drums,6.570193290710449,-2.1534333145885847,nan,5.699394489638346,1.1149644540566968,24300721,47217.00546692591
baseline,42,checkpoints/baseline/best.pt,BKS - Bulldozer,bass,2.974841356277466,-4.1993528279179575,nan,0.006257601931277738,-16.862892686385948,24300721,47217.00546692591
baseline,42,checkpoints/baseline/best.pt,BKS - Bulldozer,other,-0.7336549758911133,1.1561820076994824,nan,-3.6294649988689454,1.884054477925928,24300721,47217.00546692591
baseline,42,checkpoints/baseline/best.pt,BKS - Too Much,vocals,-2.6739187240600586,-6.599909404114836,nan,-2.620276677101571,3.7956886692189356,24300721,32676.09270196408
baseline,42,checkpoints/baseline/best.pt,BKS - Too Much,drums,0.2069583386182785,-0.3794265074877171,nan,0.154967222396891,9.834361717542862,24300721,32676.09270196408
baseline,42,checkpoints/baseline/best.pt,BKS - Too Much,bass,3.233013391494751,-4.0978512190475085,nan,0.0026964292632723117,-21.77560889246726,24300721,32676.09270196408
baseline,42,checkpoints/baseline/best.pt,BKS - Too Much,other,-10.06714916229248,0.09286273105895981,nan,-8.546965747384117,1.6966382018485833,24300721,32676.09270196408
baseline,42,checkpoints/baseline/best.pt,Ben Carrigan - We'll Talk About It All Tonight,vocals,-4.033227920532227,-10.330217505066345,nan,-4.024454841390492,-0.1526402827634801,24300721,35754.204762983136
baseline,42,checkpoints/baseline/best.pt,Ben Carrigan - We'll Talk About It All Tonight,drums,2.722921371459961,-2.282098954356297,nan,2.647429181764137,3.747573560901076,24300721,35754.204762983136
baseline,42,checkpoints/baseline/best.pt,Ben Carrigan - We'll Talk About It All Tonight,bass,2.561446189880371,-3.6799186267713875,nan,1.5917073516482585,3.382808833544813,24300721,35754.204762983136
