experiment,seed,checkpoint,track,source,si_sdr,sdr,sir,sar,isr,params,inference_time_ms
dsc24,42,checkpoints/dsc24/best.pt,AM Contra - Heart Peripheral,vocals,-24.521467208862305,-7.928976547811488,nan,-20.745795714508745,-1.385672304531436,11791561,27044.57699705381
dsc24,42,checkpoints/dsc24/best.pt,AM Contra - Heart Peripheral,drums,-12.459731101989746,0.21071562607524447,nan,-2.702402137602285,0.3757774101256825,11791561,27044.57699705381
dsc24,42,checkpoints/dsc24/best.pt,AM Contra - Heart Peripheral,bass,-9.37973403930664,-12.6702855570324,nan,-11.186953988628504,0.47808805699777307,11791561,27044.57699705381
dsc24,42,checkpoints/dsc24/best.pt,AM Contra - Heart Peripheral,other,-14.166108131408691,-10.210402509796019,nan,-9.538731920667544,1.6565538558329909,11791561,27044.57699705381
dsc24,42,checkpoints/dsc24/best.pt,Al James - Schoolboy Facination,vocals,-20.23573875427246,-4.108388237852746,nan,-13.631173054888603,-1.0757979704415568,11791561,25703.248660021927
dsc24,42,checkpoints/dsc24/best.pt,Al James - Schoolboy Facination,drums,-13.12043285369873,0.07606292636272365,nan,-7.8942105004910506,0.4878187340548729,11791561,25703.248660021927
dsc24,42,checkpoints/dsc24/best.pt,Al James - Schoolboy Facination,bass,-8.629091262817383,-4.574969169820528,nan,-3.6087454558405856,-2.457214926787013,11791561,25703.248660021927
dsc24,42,checkpoints/dsc24/best.pt,Al James - Schoolboy Facination,other,-8.054092407226562,-13.553234818908308,nan,-6.189020768766021,-2.1786769631694627,11791561,25703.248660021927
dsc24,42,checkpoints/dsc24/best.pt,Angels In Amplifiers - I'm Alright,vocals,-23.560810089111328,-5.542995347601152,nan,-17.867800886984817,-1.2682708522566308,11791561,22829.67132597696
dsc24,42,checkpoints/dsc24/best.pt,Angels In Amplifiers - I'm Alright,drums,-17.58780288696289,-0.04359975008653942,nan,-12.953669828365513,0.3352025509717238,11791561,22829.67132597696
dsc24,42,checkpoints/dsc24/best.pt,Angels In Amplifiers - I'm Alright,bass,-13.35705280303955,-8.262302774505567,nan,-7.074948844374328,-2.007926911203655,11791561,22829.67132597696
dsc24,42,checkpoints/dsc24/best.pt,Angels In Amplifiers - I'm Alright,other,-3.3028600215911865,-9.97610062603589,nan,-2.745049639050187,-1.6650484661964124,11791561,22829.67132597696
dsc24,42,checkpoints/dsc24/best.pt,Arise - Run Run Run,vocals,-18.142770767211914,-10.669741965762043,nan,-15.679648817655142,-3.7160201229706975,11791561,27961.346152005717
dsc24,42,checkpoints/dsc24/best.pt,Arise - Run Run Run,drums,-17.440467834472656,0.04469488118997817,nan,-10.602486475149819,0.2545210233887221,11791561,27961.346152005717
dsc24,42,checkpoints/dsc24/best.pt,Arise - Run Run Run,bass,-9.195781707763672,-4.519126976127387,nan,-0.08120146146851884,-20.79858741802483,11791561,27961.346152005717
dsc24,42,checkpoints/dsc24/best.pt,Arise - Run Run Run,other,-9.049318313598633,-3.38337016603609,nan,-3.191472486237555,1.9803340877760993,11791561,27961.346152005717
dsc24,42,checkpoints/dsc24/best.pt,BKS - Bulldozer,vocals,-28.767868041992188,-9.657727303486242,nan,-15.753649923907172,-3.465588232160845,11791561,42979.8095660517
dsc24,42,checkpoints/dsc24/best.pt,BKS - Bulldozer,drums,-14.149308204650879,0.0904801768723787,nan,-10.927642065654911,0.20529493814000235,11791561,42979.8095660517
dsc24,42,checkpoints/dsc24/best.pt,BKS - Bulldozer,bass,-16.76170539855957,-9.16172263918067,nan,-2.950494034137257,-10.717698623896165,11791561,42979.8095660517
dsc24,42,checkpoints/dsc24/best.pt,BKS - Bulldozer,other,1.1051620244979858,-9.85549971035635,nan,-1.9908212241090641,-2.8008812159743863,11791561,42979.8095660517
dsc24,42,checkpoints/dsc24/best.pt,BKS - Too Much,vocals,-22.76166534423828,-7.4360538143705295,nan,-17.32495635265539,-1.587045275422911,11791561,28008.9952640119
dsc24,42,checkpoints/dsc24/best.pt,BKS - Too Much,drums,-11.714253425598145,0.21096545397832941,nan,-5.301477721841101,0.4528887183716004,11791561,28008.9952640119
