experiment,source,si_sdr,sdr,sar,isr,params
baseline,vocals,-4.265169185996055,-10.687473772648113,-4.7646731852369255,0.36943577437650155,24300721.0
baseline,drums,1.5875416088104248,-2.0807460859435243,2.250512808979757,5.0139514886256205,24300721.0
baseline,bass,-0.15080249279737473,-6.009552831537935,-0.9040363891285642,-4.3492799293897155,24300721.0
baseline,other,-7.932336220443249,0.14793796211539786,-5.034089192967231,1.633743530311337,24300721.0
dsc10,vocals,-26.545620498657225,-7.352796540523791,-18.638271988519065,-1.8405589688951327,19088571.0
dsc10,drums,1.5774558683484792,-9.156831374124048,2.085454772399297,-8.00937992508837,19088571.0
dsc10,bass,-15.564892826080323,-12.675031643439835,-8.484536468395532,-9.923492296177953,19088571.0
dsc10,other,-6.3036141262948515,0.31508166258946557,-4.452626774219715,1.1064656882096024,19088571.0
dsc20,vocals,-24.49259826660156,-8.778548627410443,-18.579282865869057,-2.1524162873254333,13876421.0
dsc20,drums,-15.840093784332275,-11.532266734641896,-11.72879040774735,-4.729733978615862,13876421.0
dsc20,bass,-11.867287437915802,-10.358017341728212,-7.528297166906034,-8.980930112030101,13876421.0
dsc20,other,-6.6251127147674564,-1.8145758387505644,-4.564584145286952,-1.1703334295579446,13876421.0
dsc24,vocals,-24.908547401428223,-8.120196578188274,-18.658723360098364,-1.9629401979200949,11791561.0
dsc24,drums,-14.687657012939454,0.00021827787089509862,-9.04852452787734,0.23508308129647087,11791561.0
dsc24,bass,-12.451590557098388,-7.319534302376925,-8.291245786291281,-1.2521842414932716,11791561.0
dsc24,other,-4.179144439995289,-9.511281590423355,-2.47358912055241,-1.6229876882009049,11791561.0
dsc40,vocals,-1.0464424192905426,-11.945328600184453,-2.1269790498521135,-5.131778715281248,19234041.0
dsc40,drums,-14.012890729904175,-0.0252679238562159,-10.132978717386917,0.34308316426820995,19234041.0
dsc40,bass,0.042029620707035066,-7.674487298076257,-0.9673625847768156,-5.269367454153845,19234041.0
dsc40,other,-18.486861410140992,-8.112411220191586,-14.845353314330982,3.1319280549437383,19234041.0
dsc48,vocals,-23.009353771209717,-9.745971062644513,-17.41712409932787,-2.6292386753283323,22955281.0
dsc48,drums,-12.861889085769654,-0.8017784660252346,-8.360296650398448,-0.5943898041969002,22955281.0
dsc48,bass,-12.850980739593506,-9.229237930912294,-8.448682941319781,-7.002623357851819,22955281.0
dsc48,other,-4.074943153262138,-11.675551457629368,-2.415375948035375,-8.86102288625014,22955281.0
dsc5,vocals,-24.518135147094725,-12.43654866308761,-17.317477162975507,-3.5751997407212928,21694646.0
dsc5,drums,-24.256788988113403,-11.600922349356724,-12.333001404026668,-0.5833868819424083,21694646.0
dsc5,bass,-11.90210395693779,-10.40757877911426,-7.324592948517797,-2.9634872618151307,21694646.0
dsc5,other,-4.729146302640438,0.4855451203101968,-3.322039401356272,3.5415365341517897,21694646.0
